"geography","populationBelowPovertyLevel","activeVeteranNum"
Alabama,910175,
Alaska,80627,16
Arizona,1199061,
Arkansas,543882,13.4
California,6259098,9.1
Colorado,630786,
Connecticut,374772,9.9
Delaware,113508,11.7
District of Columbia,110666,8.2
Florida,3211615,
Georgia,1797969,14.4
Hawaii,156729,
Idaho,237981,12.4
Illinois,1804535,8.3
Indiana,974218,
Iowa,367816,
Kansas,382712,
Kentucky,817542,
Louisiana,896524,11.3
Maine,182791,
Maryland,589818,
Massachusetts,757235,
Michigan,1568844,
Minnesota,611354,
Mississippi,623113,12.6
Missouri,908628,12.3
Montana,153954,
Nebraska,227310,
Nevada,426730,11.8
New Hampshire,117983,13.2
New Jersey,972903,
New Mexico,436153,
New York,3062938,7.8
North Carolina,1668686,
North Dakota,82264,12
Ohio,1785780,
Oklahoma,623840,
Oregon,644450,12.4
Pennsylvania,1682212,
Puerto Rico,1624453,10.3
Rhode Island,145596,
South Carolina,843860,
South Dakota,116843,13.2
Tennessee,1171307,
Texas,4523708,
Utah,339900,11.9
Vermont,73149,
Virginia,953395,
Washington,913619,11.8
West Virginia,327764,11.5
Wisconsin,738270,
Wyoming,63774,16
