Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AK,Alaska,Demographics,Race,What is your race/ethnicity?,Black,Overall,Overall,54,4.5,3.2,5.8,1,,,,,,,,,,,,,
2014,AK,Alaska,Demographics,Sex,Gender of respondent,Male,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AK,Alaska,Demographics,Sex,Gender of respondent,Female,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AZ,Arizona,Demographics,Sex,Gender of respondent,Male,Overall,Overall,5,,,,,,,,,,,,,,,,,
2014,AZ,Arizona,Demographics,Sex,Gender of respondent,Female,Overall,Overall,8,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,5,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Alcohol Consumption,Binge Drinking,Binge drinkers (males having five or more drinks on one occasion,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Alcohol Consumption,Binge Drinking,Binge drinkers (males having five or more drinks on one occasion,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,322,4.5,3.9,5.1,2,,,,,,,,,,,,,
2014,AL,Alabama,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,3,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,Overall,Overall,4,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,879,9.6,8.7,10.4,712,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,1,BO1,CAT1,_CASTHM1,RESP046,(32.84057112200048
2014,AL,Alabama,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,Overall,Overall,7,,,,,,,,,,,,,,,,,
